Apr 29 19:26:16.536 VTTY: Console port: waiting connection on tcp port 5026 for protocol IPv4 (FD 12)
Apr 29 19:26:16.538 slot0: C/H/S settings = 0/4/32
Apr 29 19:26:16.538 slot1: C/H/S settings = 0/4/32
Apr 29 19:26:16.773 C3745_BOOT: starting instance (CPU0 PC=0xffffffffbfc00000,idle_pc=0x0,JIT on)
Apr 29 19:26:16.773 CPU0: CPU_STATE: Starting CPU (old state=2)...
Apr 29 19:26:16.937 ROM: Microcode has started.
Apr 29 19:26:30.680 ROM: trying to read bootvar 'NO_CP0'
Apr 29 19:26:30.680 ROM: trying to read bootvar 'NO_RANDOM_NUM'
Apr 29 19:26:30.680 ROM: trying to read bootvar 'RANDOM_NUM'
Apr 29 19:26:30.680 ROM: trying to read bootvar 'OFFSET'
Apr 29 19:26:35.417 ROM: trying to read bootvar 'WARM_REBOOT'
Apr 29 19:26:35.419 CPU0: IO_FPGA: write to unknown addr 0x30, value=0x0, pc=0xffffffff80be0788 (size=1)
Apr 29 19:26:35.419 CPU0: IO_FPGA: read from unknown addr 0x30, pc=0xffffffff80be079c (size=1)
Apr 29 19:26:35.499 CPU0: IO_FPGA: read from unknown addr 0x6, pc=0x603b5b14 (size=2)
Apr 29 19:26:35.501 CPU0: IO_FPGA: read from unknown addr 0x10000a, pc=0x603bd410 (size=2)
Apr 29 19:26:35.501 CPU0: IO_FPGA: write to unknown addr 0x10000a, value=0x0, pc=0x603bd420 (size=2)
Apr 29 19:26:35.501 ROM: unhandled syscall 0x00000047 at pc=0x60be1f1c (a1=0x80007db4,a2=0x00000010,a3=0xbfb00000)
Apr 29 19:26:35.960 ROM: trying to read bootvar 'RANDOM_NUM'
Apr 29 19:26:35.988 CPU0: IO_FPGA: write to unknown addr 0x2e, value=0x20, pc=0x603ca8c4 (size=2)
Apr 29 19:26:35.990 CPU0: PCI: read request for device 'gt96100' at pc=0x603cd7e8: bus=0,device=0,function=0,reg=0x00
Apr 29 19:26:35.990 CPU0: PCI: read request for device 'gt96100' at pc=0x603cd7ec: bus=0,device=0,function=0,reg=0x00
Apr 29 19:26:35.990 CPU0: PCI: read request for device 'gt96100' at pc=0x603cd59c: bus=0,device=0,function=0,reg=0x08
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x10
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x10
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x90
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x90
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x14
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x14
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x94
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x94
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x20
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x20
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0xa0
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0xa0
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x04
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x04
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x84
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x84
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x603cd6e4: bus=0,device=0,function=0,reg=0x0c
Apr 29 19:26:35.990 CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x603cd6e8: bus=0,device=0,function=0,reg=0x0c
